sqlzoo_id	title	yr	director	budget	gross	actors
15146	Little Miss Sunshine	2006	24994			6512::Steve Carell|7689::Greg Kinnear|8665::Alan Arkin|14179::Toni Collette|16030::Paul Dano|17535::Abigail Breslin
15677	Mona Lisa Smile	2003	6320	65000000	141337989	205::Julia Stiles|709::Dominic West|990::Maggie Gyllenhaal|4447::Marian Seldes|5915::Julia Roberts|5946::Marcia Gay Harden|8604::John Slattery|9803::Juliet Stevenson|11989::Kirsten Dunst|23864::Ginnifer Goodwin|25611::Topher Grace|29542::Lisa Roberts Gillan|30506::Ebon Moss-Bachrach|30507::Laura Allen|30508::Emily Bauer|30509::Tori Amos
12944	Eternal Sunshine of the Spotless Mind	2004	9297	20000000	72258126	308::Mark Ruffalo|1019::Tom Wilkinson|1343::Elijah Wood|1598::Jim Carrey|2277::Kate Winslet|5812::David Cross|9169::Jane Adams|11989::Kirsten Dunst|19899::Thomas Jay Ryan
21530	Wag the Dog	1997	6340	15000000	64256513	364::Robert De Niro|603::Woody Harrelson|1489::Denis Leary|1697::William H. Macy|2105::David Koechner|4200::Craig T. Nelson|4573::John Michael Higgins|4646::Dustin Hoffman|5541::Andrea Martin|8066::Willie Nelson|11989::Kirsten Dunst|14021::Anne Heche|18213::Suzie Plakson|21904::Suzanne Cryer|46939::Michael Belson|46940::Jason Cottle
18093	Taxi Driver	1976	2898	1300000	28262574	364::Robert De Niro|2898::Martin Scorsese|5175::Cybill Shepherd|5194::Jodie Foster|5195::Harvey Keitel|5197::Harry Northup|5939::Steven Prince|6627::Victor Argo|10129::Peter Boyle|10290::Joe Spinell|12029::Albert Brooks|38133::Leonard Harris
16781	Raging Bull	1980	2898	18000000	23380203	364::Robert De Niro|1269::Joe Pesci|4049::Frank Adonis|7087::Cathy Moriarty|13814::Frank Vincent|17525::Theresa Saldana|20345::Nicholas Colasanto
13639	Goodfellas	1990	2898	25000000	46836394	364::Robert De Niro|1269::Joe Pesci|3480::Paul Sorvino|7671::Ray Liotta|19951::Lorraine Bracco
17055	Ronin	1998	1080	55000000	290000000	364::Robert De Niro|1097::Skipp Sudduth|3081::Bernard Bloch|3506::Jonathan Pryce|4692::Michael Lonsdale|6155::Stellan Skarsgård|7509::Jean Reno|10510::Sean Bean|14863::Natascha McElhone|29036::Féodor Atkine|34818::Jan Triska|34819::Katarina Witt
16630	Pretty Woman	1990	9323	14000000	463407268	150::Jason Alexander|4760::Ralph Bellamy|5906::Richard Gere|5915::Julia Roberts|5968::Hector Elizondo|18835::Amy Yasbeck|20076::Laurelle Brooks Mehus|22719::Alex Hyde-White|31881::Judith Baldwin|32246::Laura San Giacomo|33544::John David Carson|33545::Elinor Donahue
16123	Notting Hill	1999	14178	43000000	363889700	146::Tim McInnerny|147::John Shrapnel|5172::Alec Baldwin|5276::Omid Djalili|5915::Julia Roberts|5945::Hugh Grant|7032::Rhys Ifans|11970::Emily Mortimer|12509::Hugh Bonneville|16353::Gina McKee|24568::Mischa Barton|26079::Sanjeev Bhaskar|31976::Emma Chambers|31977::James Dreyfus|31978::Richard McCabe|31979::Dylan Moran
12920	Erin Brockovich	2000	14366	51000000	256271286	2106::Albert Finney|3590::Peter Coyote|5908::Cherry Jones|5915::Julia Roberts|7176::Aaron Eckhart|8581::Marg Helgenberger|14902::Tracey Walter|17307::Conchata Ferrell|19775::Erin Brockovich|19776::Veanne Cox|19777::Scotty Leavenworth|19778::Gemmenne de la PeÃ±a|19779::Gina Gallego|19780::T.J. Thyne|19781::Valente Rodriguez
20090	The Pelican Brief	1993	5596	45000000	195268056	116::Hume Cronyn|586::John Lithgow|2388::Stanley Tucci|3182::Denzel Washington|3584::Tony Goldwyn|4535::John Heard|5613::Sam Shepard|5915::Julia Roberts|10409::William Atherton|11207::Robert Culp|13143::James Sikking
12125	Conspiracy Theory	1997	383	80000000	136982834	383::Richard Donner|385::Cylk Cozart|396::Steve Kahan|4711::Mel Gibson|5915::Julia Roberts|8941::Sean Patrick Thomas|11002::Rick Hoffman|14460::Patrick Stewart|15815::Pete Koch|15816::Dean Winters|15817::Joan Lunden|15818::Tom Schanley
18504	The Bonfire of the Vanities	1990	11088		15691192	274::Bruce Willis|376::Kim Cattrall|2370::Tom Hanks|3189::John Hancock|3259::Melanie Griffith|3409::Robert Stephens|4255::Adam LeFevre|4595::Saul Rubinek|5524::Richard Libertini|5605::F. Murray Abraham|5657::Kevin Dunn|6152::Morgan Freeman|6755::Kurt Fuller|8116::Alan King|8119::Rita Wilson|8620::Louis Giambalvo|9367::Mary Alice|10602::Clifton James|11989::Kirsten Dunst|15009::Donald Moffat|23049::Andre Gregory|33580::Geraldo Rivera|39254::Beth Broderick
15812	Mulholland Falls	1996	5709	29000000	11526099	249::Treat Williams|751::Louise Fletcher|1024::Michael Madsen|1038::Nick Nolte|1345::Jennifer Connelly|1472::Chazz Palminteri|3259::Melanie Griffith|3859::Rob Lowe|4527::Bruce Dern|4570::Chris Penn|5404::John Malkovich|6600::Kyle Chandler|14986::Andrew McCarthy|23740::Daniel Baldwin|30971::William L. Petersen|30972::Aaron Neville
20953	Thelma & Louise	1991	351	16500000		276::Brad Pitt|1024::Michael Madsen|1919::Susan Sarandon|2368::Geena Davis|4268::Stephen Tobolowsky|5195::Harvey Keitel|10014::Timothy Carhart|11758::Christopher McDonald|19199::Marco St. John|22144::Jason Beghe
17602	Solitary Man	2010	27475	15000000	5024782	737::Imogen Poots|803::Jesse Eisenberg|1543::Michael Douglas|1919::Susan Sarandon|7194::Danny DeVito|10783::Jenna Fischer|11592::Mary-Louise Parker|14030::Douglas McGrath|16144::Richard Schiff|22564::Bruce Altman|23657::Arthur J. Nascarella|26844::Olivia Thirlby|36698::Mary Louise Parker|36699::Gillian Jacobs
20321	The Rocky Horror Picture Show	1975	36100	1200000	139080000	149::Barry Bostwick|1919::Susan Sarandon|6150::Meat Loaf|6978::Tim Curry|17875::Charles Gray|30632::Patricia Quinn|36102::Nell Campbell|43954::Jonathan Adams|43955::Peter Hinwood
10501	Alfie	2004	5021	60000000	35150546	1377::Jude Law|1919::Susan Sarandon|4596::Omar Epps|5022::Marisa Tomei|5023::Renée Taylor|5024::Jane Krakowski|5025::Jeff Harding|5026::Kevin Rahm|5027::Nia Long|5028::Max Morris|5029::Gedde Watanabe|5030::Jo Yang|5031::Tara Summers|5032::Sam Vincenti|5033::Jefferson Mays|5034::Dick Latessa|5035::Sienna Miller
12886	Enchanted	2007	169	85000000	340487652	154::Jeff Bennett|702::James Marsden|1348::Fred Tatasciore|1919::Susan Sarandon|5257::Timothy Spall|8906::Patrick Dempsey|13933::Amy Adams|19597::Idina Menzel|19598::Rachel Covey|19599::Jon McLaughlin
11853	Charlie's Angels	2000	14234	75000000	264105545	328::Sam Rockwell|852::Luke Wilson|1071::Drew Barrymore|1346::Crispin Glover|2384::Cameron Diaz|6978::Tim Curry|7175::LL Cool J|8769::Lucy Liu|12792::Bill Murray|14236::John Forsythe|14237::Matt LeBlanc|14245::Kelly Lynch|14246::Tom Green|14247::Sean Whalen|14248::Alex Trebek|14249::Karen McDougal
12662	Donnie Darko	2001	18597	4500000	4116307	233::Patrick Swayze|990::Maggie Gyllenhaal|1071::Drew Barrymore|3019::James Duval|4443::Holmes Osborne|5356::Ashley Tisdale|5441::Beth Grant|6515::Seth Rogen|8264::Stuart Stone|11098::Mary McDonnell|12070::Jake Gyllenhaal|12622::Katharine Ross|15365::Jena Malone|18598::Noah Wyle|18599::Daveigh Chase|18600::Alex Greenwald|18601::Patience Cleveland|18602::Jolene Purdy|18603::Jerry Trainor
